4510;Equipo;Equipo durante el período seleccionado;Posición específica;Edad;Valor de mercado (Transfermarkt);Vencimiento contrato;Partidos jugados;Minutos jugados;Goles;xG;Asistencias;xA;Duelos/90;Duelos ganados, %;País de nacimiento;Pasaporte;Pie;Altura;Peso;En prestamo;Acciones defensivas realizadas/90;Duelos defensivos/90;Duelos defensivos ganados, %;Duelos aéreos en los 90;Duelos aéreos ganados, %;Entradas/90;Posesión conquistada después de una entrada;Tiros interceptados/90;Interceptaciones/90;Posesión conquistada después de una interceptación;Faltas/90;Tarjetas amarillas;Tarjetas amarillas/90;Tarjetas rojas;Tarjetas rojas/90;Acciones de ataque exitosas/90;Goles/90;Goles (excepto los penaltis);Goles, excepto los penaltis/90;xG/90;Goles de cabeza;Goles de cabeza/90;Remates;Remates/90;Tiros a la portería, %;Goles hechos, %;Asistencias/90;Centros/90;Precisión centros, %;Centros desde la banda izquierda/90;Precisión centros desde la banda izquierda, %;Centros desde la banda derecha/90;Precisión centros desde la banda derecha, %;Centros al área pequeña/90;Regates/90;Regates realizados, %;Duelos atacantes/90;Duelos atacantes ganados, %;Toques en el área de penalti/90;Carreras en progresión/90;Aceleraciones/90;Pases largos recibidos/90;Faltas recibidas/90;Pases/90;Precisión pases, %;Pases hacia adelante/90;Precisión pases hacia adelante, %;Pases hacia atrás/90;Precision pases hacia atrás, %;Pases laterales/90;Precisión pases laterales, %;Pases cortos / medios /90;Precisión pases cortos / medios, %;Pases largos/90;Precisión pases largos, %;Longitud media pases, m;Longitud media pases largos, m;xA/90;Asistencias/90;Second assists/90;Third assists/90;Desmarques/90;Precisión desmarques, %;Jugadas claves/90;Pases en el último tercio/90;Precisión pases en el último tercio, %;Pases al área de penalti/90;Pases hacía el área pequeña, %;Pases en profundidad/90;Precisión pases en profundidad, %;Ataque en profundidad/90;Centros desde el último tercio/90;Pases progresivos/90;Precisión pases progresivos, %;Tiros libres/90;Tiros libres directos/90;Tiros libres directos, %;Córneres/90;Penaltis a favor;Penaltis realizados, %
R. Ispas;Poli Ia?i;Poli Ia?i;LB, LCB;23;500000;2025-06-30;19;1892;0;0,12;3;1,64;12,65;55,26;Romania;Romania;izquierdo;178;70;no;8,8;5,61;69,49;2,05;53,49;0,38;0,55;0,24;4,52;6,52;0,52;2;0,1;0;0;1,47;0;0;0;0,01;0;0;4;0,19;0;0;0,14;2,81;37,29;2,66;35,71;0,14;66,67;0,24;1,19;36;2,62;41,82;0,48;0,81;0,19;1,52;0,76;40,39;79,86;15,79;73,19;6,99;93,2;10,42;81,28;34,2;86,93;3,47;43,84;18,27;30,44;0,08;0,62;0,05;0;0;0;0,24;3,14;69,7;2,09;40,91;0,14;0;0,14;1;7,52;63,29;0;0;0;0,1;0;0
Ander Martín;Burgos;Burgos;LW, RW, LB;23;500000;2024-06-30;25;1319;1;0,95;2;0,84;15,18;50,78;Spain;Spain;izquierdo;176;78;no;6,84;6,14;64,1;1,49;21,05;0,16;0,21;0;2,75;3,63;0,71;2;0,14;0;0;2,2;0,07;0;0;0,07;0;0;6;0,47;16,67;0;0,16;1,97;40;1,81;39,13;0,16;50;0,16;2,05;61,54;5,11;47,69;1,34;1,26;0,47;1,49;0,87;34,22;80,69;9,6;66,39;7,55;91,67;10,54;85,82;30,21;85,16;2,28;51,72;17,69;24,89;0,07;0,79;0,08;0,08;0,39;20;0,55;2,99;60,53;2,67;50;0,31;0;0,94;0,94;5,9;64;0;0;0;0,24;0;0
S. Giovane;Ascoli;Ascoli;LB, LCMF;20;500000;2025-06-30;22;1269;0;0,43;1;0,58;21,99;44,19;Italy;Italy;izquierdo;181;73;si;8,09;6,74;60;3,19;33,33;0,21;0,26;0,14;3,83;4,74;1,91;6;0,43;0;0;2,7;0;0;0;0,03;0;0;4;0,28;25;0;0,07;1,49;42,86;1,42;40;0;0;0,07;2,91;68,29;8,51;41,67;0,57;1,7;0,35;0,92;1,99;23,48;82,48;7,45;69,52;5,46;97,4;5,89;81,93;20,21;89,82;1,77;32;14,8;13,78;0,04;0,57;0;0;0,07;0;0,35;2,2;64,52;1,7;45,83;0,14;0;0,28;0,64;3,05;67,44;0,28;0;0;0,35;0;0
R. Celia;Ascoli;Ascoli;LB, LWB;24;500000;2024-06-30;22;1376;1;1,11;0;1,12;17,07;50,19;Italy;Italy;izquierdo;180;70;no;7,26;7,91;54,55;1,5;56,52;0,13;0,16;0,07;2,81;3,49;1,11;1;0,07;0;0;2,94;0,07;1;0,07;0,07;0;0;5;0,33;40;20;0;3,4;32,69;3,4;32,69;0;0;0,26;3,07;55,32;5,89;42,22;0,72;1,7;0,65;2,55;0,92;36,1;75,36;13,28;67,98;6,8;94,23;9,61;76,19;28,52;83,26;4,38;55,22;19,88;28,96;0,07;0,65;0;0;0,13;0;0,39;5,1;64,1;3,01;43,48;0,33;20;0,33;1,05;7,98;70,49;0,07;0;0;0,13;0;0
O. Lebedenko;Vizela;Vizela;LB, LCB;25;500000;2025-06-30;12;604;0;0,25;1;0,56;13,11;51,14;Ukraine;Ukraine;izquierdo;176;63;no;8,79;5,51;67,57;2,24;26,67;0;0;0,45;5,07;7,45;0,75;1;0,15;0;0;2,83;0;0;0;0,04;0;0;2;0,3;0;0;0,15;2,83;47,37;2,83;47,37;0;0;0,15;2,68;50;4,32;41,38;0,6;1,94;0,6;0,3;0,75;34,27;79,57;12,81;70,93;4,92;96,97;11,32;84,21;28,01;85,64;3,73;52;18,34;27,19;0,08;0,75;0;0;0,6;25;0,3;4,47;73,33;2,53;52,94;0,89;33,33;0,45;1,34;7,15;70,83;0;0;0;0;0;0
S. Diaby;Winterthur;Winterthur;LB;24;500000;2025-06-30;18;1286;0;0,26;1;0,86;15,82;58,85;Côte d'Ivoire;Côte d'Ivoire;izquierdo;173;69;no;9,66;8,19;62,39;2,31;51,52;0,21;0,28;0,42;4,34;5,72;1,26;4;0,28;0;0;1,54;0;0;0;0,02;0;0;4;0,28;25;0;0,07;1,4;30;1,4;30;0;0;0,07;1,4;65;3,43;55,1;0,49;1,26;0,42;0,91;0,49;43,53;79,9;18,06;70,16;6,79;90,72;13,09;87,17;36,74;86,67;5,39;46,75;20,58;37,15;0,06;0,7;0,07;0,07;0,14;100;0,28;5,67;67,9;2,17;45,16;0,84;25;0,84;0,42;9,1;69,23;0;0;0;0;0;0
M. Luciano;Godoy Cruz;Godoy Cruz;LB, LWB;20;500000;2024-12-31;17;1063;0;0,2;0;0,67;16,09;58,62;Argentina;Argentina;izquierdo;177;70;si;9,25;8,32;63,33;1,2;53,85;0,74;1,11;0,28;3,24;4,86;1,48;3;0,25;0;0;1,76;0;0;0;0,02;0;0;4;0,37;0;0;0;2,03;50;1,94;52,38;0,09;0;0,09;1,29;57,14;3,51;55,26;1,11;0,46;0,18;1,66;0,65;34,41;80,11;12,67;68,61;6,57;98,59;10,64;86,96;28,67;86,13;3,98;48,84;20,42;29,5;0,06;0,55;0;0;0;0;0,18;3,88;59,52;1,85;60;0,09;100;0,46;0,83;7,86;71,76;0;0;0;0;0;0
A. Teuten;Torque;Torque;LB;25;500000;2024-12-31;22;1097;1;0,25;0;0,63;15,42;43,09;Uruguay;Uruguay, England;izquierdo;173;72;si;9,02;7,14;49,43;3,12;34,21;1,23;1,84;0;4,27;6,37;1,39;6;0,49;0;0;1,56;0,08;1;0,08;0,02;0;0;5;0,41;60;20;0;2,05;32;1,97;29,17;0,08;100;0,16;1,15;57,14;2,71;36,36;0,33;0,41;0,08;1,48;0,66;34,54;81,71;12,47;78,29;5,33;95,38;11,57;82,98;28,88;88,07;3,69;57,78;18,38;26,41;0,05;0,9;0;0;0,16;0;0,33;3,77;69,57;1,64;50;0,16;0;0,49;0,66;6,65;75,31;0,57;0,08;100;1,23;0;0
Zé Ricardo;AVS ;AVS ;LB;25;500000;2024-06-30;16;1270;1;0,46;0;0,68;23,1;54,91;Brazil;Brazil, Spain;izquierdo;180;75;no;11,98;9;69,29;2,62;54,05;0,5;0,84;0,07;5,24;8,84;1,2;5;0,35;0;0;3,76;0,07;1;0,07;0,03;0;0;10;0,71;50;10;0;2,83;22,5;2,69;23,68;0,14;0;0,28;4,68;59,09;9,07;46,88;0,35;1,7;0,21;0,64;1,13;29,55;67,15;13,18;59,14;4,25;90;8,22;72,41;22,25;79,62;4,68;33,33;22,32;41,19;0,05;0,57;0,14;0;0,07;0;0,28;5,1;55,56;2,83;37,5;0,43;66,67;0,35;0,78;7,44;58,1;0,43;0;0;0,28;0;0
K. Boto;Pau;Pau;LB, RB, RWB;27;500000;2024-06-30;22;1747;0;0,15;3;1,49;13,19;47,27;Madagascar;Madagascar;izquierdo;183;71;no;6,95;5,82;57,52;2,06;37,5;0,05;0,06;0,36;3,55;3,99;0,93;2;0,1;0;0;1,75;0;0;0;0,01;0;0;3;0,15;0;0;0,15;2,88;25;1,96;21,05;0,93;33,33;0,1;1,65;46,88;3,45;40,3;0,31;1,6;0,88;2,52;0,26;36,01;77,11;14,73;67,13;5,67;96,36;10,2;79,8;29,57;86,06;3,76;45,21;19,06;30,16;0,08;0,57;0;0;0,31;83,33;0,41;3,97;66,23;2,58;44;0,31;50;0,57;0,62;7,62;67,57;0;0;0;0;0;0
A. Katranis;Piast Gliwice;Piast Gliwice;LB;25;500000;2024-06-30;17;1411;0;0,08;0;1,12;18,7;60,07;Greece;Greece;izquierdo;175;74;no;8,83;7,6;64,96;3,7;70,18;0,26;0,34;0,06;3,64;4,81;1,75;3;0,19;1;0,06;2,99;0;0;0;0;0;0;4;0,26;0;0;0;3,44;43,4;3,31;43,14;0,13;50;0,39;2,34;61,11;4,68;48,61;1,23;1,1;0,39;1,62;1,62;41,82;73,45;17,99;64,62;5,19;98,75;12,14;77,01;32,21;82,66;6,36;42,86;20,25;33,59;0,07;0,91;0,06;0,06;0,13;50;0,26;8,05;62,9;4,42;50;0,78;25;1,04;1,23;10,13;75;0,91;0;0;0,71;0;0
J. Davidson;Eupen;Eupen;LCB, LWB, LB;32;500000;2024-06-30;23;2081;1;0,97;0;1,11;15,48;55,03;Australia;Australia, Greece;izquierdo;180;72;no;11,29;6,57;67,76;3,2;58,11;0,43;0,51;0,52;6,4;7,6;0,69;4;0,17;0;0;1,9;0,04;1;0,04;0,04;0;0;8;0,35;37,5;12,5;0;2,34;35,19;2,34;35,19;0;0;0,26;1,6;56,76;3,76;41,38;0,61;1,64;0,26;1,77;0,52;48,65;76,27;23,53;68,38;4,24;90,82;15,92;82,61;37,84;85,03;8,48;48,47;20,3;35,16;0,05;0,48;0,04;0,04;0,13;33,33;0,26;7,74;64,8;3,03;38,57;0,52;16,67;0,48;0,91;11,85;68,61;0,13;0,04;0;0;0;0
L. Woudenberg;Valenciennes;Valenciennes;LB, LWB;29;500000;2025-06-30;21;1830;1;1,39;0;0,82;12,69;55,81;Netherlands;Netherlands;izquierdo;186;74;no;8,8;7,03;62,24;1,92;64,1;0,15;0,19;0,25;4,28;5,53;1,18;1;0,05;0;0;0,93;0,05;1;0,05;0,07;1;0,05;5;0,25;60;20;0;1,67;35,29;1,67;35,29;0;0;0,15;0,39;50;1,28;34,62;0,44;0,3;0,1;1,87;0,2;36,69;79,89;15,93;71,3;5,61;98,25;9,98;87,19;29,31;88,26;5,7;50;19,92;31,26;0,04;0,34;0;0;0,1;0;0,05;5,02;62,75;1,67;55,88;0,44;55,56;0,39;0,59;7,57;66,23;0,34;0;0;0;1;0
L. Hernández;Peñarol;Peñarol;LB;31;500000;2024-06-30;37;2805;1;2;1;1,84;13,83;52,67;Uruguay;Uruguay;izquierdo;176;73;no;8,95;6,51;63,05;1,38;46,51;0,45;0,68;0,06;4,4;6,61;0,93;6;0,19;0;0;2,18;0,03;1;0,03;0,06;1;0,03;19;0,61;31,58;5,263;0,03;2,73;36,47;2,73;36,47;0;0;0,32;1,57;61,22;3,5;43,12;1,12;0,71;0,32;1,28;0,32;35,71;78,08;15,75;73,73;4,04;90,48;9,66;79,4;29,2;84,95;3,88;54,55;18,05;30,33;0,06;0,77;0,03;0;0,19;16,67;0,39;5,52;72,67;2,6;48,15;0,42;30,77;0,51;0,99;8,47;74,24;0,29;0,1;33,33;0,06;0;0
Antonio Luna;Volos NFC;Volos NFC;LB;32;450000;2024-06-30;19;1401;0;0,2;2;1,45;9,89;52,08;Spain;Spain;izquierdo;178;68;no;6,11;4,74;57,97;1,03;40;0,21;0,28;0,21;3,16;4,23;0,55;0;0;0;0;1,51;0;0;0;0,01;0;0;3;0,21;33,33;0;0,14;2,47;33,33;2,4;34,29;0;0;0,21;0,96;64,29;2,61;47,37;0,41;1,51;0,21;1,17;0,34;33,57;78,32;14,69;73,36;3,84;91,07;9,82;81,12;27,73;85,64;3,5;49,02;18,5;30,54;0,1;0,76;0;0,07;0;0;0,48;4,94;62,5;2,4;31,43;0,27;25;0,21;1,03;8,03;70,94;0,14;0,07;100;0;0;0
F. Kleinhansl;Osnabrück;Osnabrück;LB, LWB;23;450000;2024-06-30;21;2078;1;1,07;1;2,64;17,29;63,09;Germany;Germany;izquierdo;180;72;no;10,73;7,47;67,88;2,35;55,77;0,45;0,58;0,23;5,21;6,71;1;5;0,22;0;0;3,08;0,04;1;0,05;0,05;0;0;23;1,04;43,48;4,348;0,05;2,72;35;2,58;33,33;0,09;100;0,18;2,44;66,67;5,52;63,11;0,45;1,68;1,04;2,04;2,49;40,02;77,26;17,34;69,19;7,15;94,94;10,23;78,76;30,2;87,11;7,2;51,57;21,09;36,52;0,12;1,31;0;0;0,27;16,67;0,23;7,06;67,31;2,99;46,97;0,91;40;0,5;0,95;10,19;74,22;1,81;0,18;25;2,72;0;0
M. Huard;Brescia;Brescia;LWB, LB;25;450000;2024-06-30;12;615;0;0,01;0;0,4;18,44;62,7;France;France;izquierdo;175;75;no;11,12;9,37;67,19;3,07;57,14;0,59;0,92;0,15;4,24;6,64;1,61;2;0,29;0;0;2,63;0;0;0;0;0;0;2;0,29;0;0;0;4,83;30,3;4,83;30,3;0;0;1,02;1,32;88,89;4,39;63,33;0,73;1,76;0,29;2,63;1,76;33,95;70,69;11,71;58,75;7,61;94,23;10,24;68,57;24,88;84,12;4,39;40;19,64;29,16;0,06;1,61;0;0;0;0;0,73;4,68;50;4,39;40;0,29;0;0,59;1,76;7,46;78,43;0,44;0;0;0,29;0;0
A. Dragu;Boto?ani;Boto?ani;RW, RAMF, LB;24;450000;2025-06-30;18;997;0;0,65;0;0,56;19,14;41,51;Romania;Romania;izquierdo;171;66;no;5,96;5,06;50;1,08;41,67;0,36;0,48;0,09;3,07;4,08;1,17;2;0,18;0;0;2,89;0;0;0;0,06;0;0;6;0,54;16,67;0;0;1,17;38,46;0,81;33,33;0,27;33,33;0,27;4,33;52,08;11,01;40,16;1,35;2,08;0,54;1,72;2,17;27,71;81,11;8,67;72,92;4,42;93,88;9,84;83,49;25,01;84,84;1,62;50;16,05;24,62;0,05;0,45;0;0;0,09;100;0,09;2,89;68,75;2,17;50;0,27;33,33;0,54;0,36;4,42;69,39;0,18;0;0;0,81;0;0
M. Briceag;Korona Kielce;Korona Kielce;LB;31;450000;2024-06-30;8;801;0;0,04;0;0,96;8,43;56;Romania;Romania;izquierdo;175;76;no;6,74;3,37;66,67;1,24;45,45;0,22;0,29;0;4,27;5,53;0,45;0;0;0;0;1,91;0;0;0;0;0;0;3;0,34;0;0;0;4,49;27,5;4,49;27,5;0;0;0,9;1,01;66,67;2,7;62,5;0,22;0,79;0,22;1,46;1,35;39,21;72,21;12,92;56,52;7,75;97,1;15,84;71,63;27,08;84,65;7,75;53,62;23,89;38,46;0,11;0,67;0;0;0;0;0,34;5,62;54;5,62;34;0,79;57,14;0,9;1,24;9,66;66,28;0;0;0;0;0;0
B. Wdowik;Jagiellonia Bia?ystok;Jagiellonia Bia?ystok;LB, LWB;23;450000;2025-06-30;22;2086;9;3,49;2;2,37;15,27;53,39;Poland;Poland;izquierdo;184;72;no;8,46;6,9;64,38;2,11;59,18;0,17;0,26;0,17;3,84;5,84;0,69;2;0,09;0;0;2,5;0,39;6;0,26;0,15;0;0;23;0,99;47,83;39,13;0,09;1,81;35,71;1,6;37,84;0,22;20;0,3;2,33;57,41;4,36;43,56;0,35;2,11;0,69;0,86;0,56;51,56;85,61;14,84;76,16;8,76;93,6;17,47;87,65;46,73;90,03;3,19;47,3;16,27;28,3;0,1;1,29;0,17;0;0,26;16,67;0,35;5,31;73,17;2,59;43,33;0,78;27,78;0,69;0,69;7,64;67,8;1,77;0,47;63,64;3,37;3;100
Léo Borges;Pogo? Szczecin;Pogo? Szczecin;LB, LCB;23;450000;2025-06-30;14;481;1;0,17;0;0,1;17,78;52,63;Brazil;Brazil;izquierdo;179;73;no;11,23;8,23;63,64;3,37;38,89;0,19;0,25;0,19;5,8;7,82;1,12;0;0;0;0;1,87;0,19;1;0,19;0,03;0;0;3;0,56;33,33;33,333;0;2,06;36,36;2,06;36,36;0;0;0;1,5;62,5;3,37;61,11;0,56;2,43;0,94;1,68;0,75;39,67;75;13,28;57,75;5,61;96,67;14,59;84,62;33,31;82,02;4,49;37,5;19,73;19,24;0,02;0,19;0,19;0;0,37;0;0,19;7,11;71,05;1,87;60;0,37;0;0,37;0,75;8,61;63,04;0;0;0;0;0;0
Leandro Teixeira;Penafiel;Penafiel;LCB, LB;25;450000;2024-06-30;13;1165;0;0,44;1;1,03;12,21;62,66;Portugal;Portugal;izquierdo;186;80;no;8,11;5,41;65,71;3,4;63,64;0,15;0,19;0,39;4,4;5,46;1,31;4;0,31;0;0;0,46;0;0;0;0,03;0;0;6;0,46;16,67;0;0,08;0,7;33,33;0,62;37,5;0,08;0;0;0,31;50;1,47;68,42;0,46;0,15;0,08;0,23;1;35,54;78,26;18,93;71,43;1,93;92;11,36;89,12;25,34;88,72;9,58;53,23;25,67;41,81;0,08;0,62;0;0;0;0;0,23;6,33;54,88;1,24;25;0,77;40;0,23;0,23;9,73;73,81;0,62;0;0;0,77;0;0
MT;Santa Clara;Santa Clara;LWB, LB;22;450000;2024-12-31;16;1042;0;0,75;0;1,16;17,97;50;Brazil;Brazil;izquierdo;185;75;si;8,12;5,87;57,35;2,76;37,5;0;0;0;4,75;6,68;1,12;1;0,09;0;0;3,45;0;0;0;0,06;0;0;17;1,47;17,65;0;0;3,45;35;3,45;35;0;0;0,26;3,71;53,49;7,43;52,33;2,42;2,85;0,6;1,3;1,47;32,65;72,75;12,52;64,83;6,22;91,67;7,86;72,53;26,52;81,43;3,11;38,89;19,48;24,42;0,1;0,95;0;0;0,09;0;0,52;4,58;62,26;3,2;48,65;0,69;37,5;1,3;0,95;8,21;67,37;0,26;0,26;66,67;0,09;0;0
Simão Rocha;Paços de Ferreira;Paços de Ferreira;LB;23;450000;2024-06-30;12;815;0;0,31;1;0,87;15,68;55,63;Portugal;Portugal;izquierdo;186;80;no;8,5;6,4;68,97;3,09;53,57;0,55;0,8;0,11;3,53;5,13;1,1;1;0,11;0;0;2,1;0;0;0;0,03;0;0;4;0,44;25;0;0,11;2,1;31,58;1,88;35,29;0;0;0;2,43;54,55;5,19;42,55;1,66;3,09;0,66;0,77;1,1;42,74;85,27;15,57;80,14;6,74;98,36;13,58;87,8;38,54;90,54;2,54;34,78;17,57;24,68;0,1;0,88;0;0;0,11;0;0,22;5,74;82,69;1,1;60;0,22;50;0,22;0,55;7,95;73,61;0;0;0;0;0;0
R. De La Fuente;Deportes Iquique;Deportes Iquique;LB, LWB;33;450000;2024-12-31;21;2111;0;0,54;0;3,43;14,37;51,04;Chile;Chile;izquierdo;176;71;no;7,8;5,5;67,44;1,53;50;0,34;0,46;0,26;3,75;5,11;0,68;3;0,13;0;0;2,6;0;0;0;0,02;0;0;9;0,38;0;0;0;3,03;42,25;2,81;45,45;0,21;0;0,43;2,43;49,12;4,99;43,59;0,3;1,02;0,72;1,62;1,07;37,43;81,21;13,05;73,2;5,03;93,22;13,43;85,08;31,55;87,57;3,07;55,56;18,91;35,84;0,15;1,28;0;0;0,3;42,86;0,47;3,92;66,3;3,07;45,83;0,34;25;0,34;1,24;9,25;78,34;0,55;0,04;0;1,88;0;0
P. Jaroszy?ski;Cracovia Kraków;Cracovia Kraków;LB, LWB;29;450000;2024-06-30;11;1016;1;0,55;0;0,32;14,17;53,13;Poland;Poland;izquierdo;184;77;no;8,77;6,56;62,16;2,48;46,43;0,62;0,77;0,09;4,07;5,05;1,33;3;0,27;0;0;2,48;0,09;1;0,09;0,05;0;0;7;0,62;28,57;14,286;0;3,45;33,33;3,37;31,58;0,09;100;0,44;2,04;56,52;3,54;52,5;0,62;1,06;0,18;2,48;0,8;28,61;68,42;9,04;55,88;6,02;86,76;8,95;70,3;22,32;77,38;3,01;44,12;21,19;34,37;0,03;0,71;0;0,09;0,09;0;0,27;4,25;54,17;3,81;41,86;0,8;44,44;0,44;1,42;7,62;61,63;0;0;0;0,09;0;0
J. Álvarez;Defensor Sporting;Defensor Sporting;LWB, LB;29;425000;2024-12-31;35;2776;1;1,35;2;2,65;14,62;49,2;Uruguay;Uruguay;izquierdo;175;62;no;10,19;6,66;58;0,87;38,46;0,8;1,21;0,27;5,53;8,4;0,87;1;0,03;0;0;2,43;0,03;1;0,03;0,05;0;0;24;0,8;25;4,167;0,07;3;32,22;2,93;31,82;0,03;100;0,43;1,96;57,63;4,63;40,29;1,37;1,23;0,67;2,1;0,53;35,89;72,73;12,32;55,95;6,63;95,48;11,39;77,78;27,8;82,99;5,26;41,14;19,83;36,03;0,09;0,73;0,07;0;0,2;66,67;0,37;3,66;54,55;2,83;35,29;0,7;42,86;0,5;0,97;8,16;57,55;0,03;0,03;0;0,17;0;0
J. Soltvedt;Brann;Brann;LB;28;400000;2024-12-31;36;3262;7;3,11;12;10,92;13,38;51,34;Norway;Norway;izquierdo;188;77;no;8,22;6,24;64,16;1,08;35,9;0;0;0,25;4,22;5,84;0,69;1;0,03;0;0;3,5;0,19;7;0,19;0,09;0;0;52;1,43;34,62;13,462;0,33;4,69;41,18;4,03;40,41;0,63;43,48;0,77;1,82;50;3,92;40,85;1,88;1,41;0,39;2,48;0,74;52,89;77,83;20,25;67,44;7,26;93,92;18,1;81,86;38,65;88,22;9,82;54,21;23,13;41,07;0,3;2,29;0,14;0,08;0,36;46,15;0,94;8,86;63,24;5,52;47;1,6;29,31;1,35;1,93;12,06;80,55;1,08;0,28;40;3,67;0;0
V. Kongsro;HamKam;HamKam;LB, LCB, LWB;25;400000;2024-12-31;31;2607;2;2,49;1;1,56;13,26;54,95;Norway;Norway;izquierdo;187;73;no;7,84;4,56;55,3;4,25;62,6;0,1;0,11;0,52;5,21;5,35;0,28;2;0,07;1;0,03;1,9;0,07;2;0,07;0,09;1;0,03;23;0,79;43,48;8,696;0,03;2,73;25,32;2,73;25,32;0;0;0,69;1,31;65,79;2,55;55,41;1,48;1,07;0,1;1,42;0,72;30,72;75,06;11,57;68,06;5,42;95,54;8,8;73,33;24,55;83,97;3,69;51,4;19,9;31,74;0,05;0,59;0;0;0,03;0;0,24;4,63;64,93;3,11;43,33;0,35;50;0,72;0,79;6,59;68,59;0,07;0;0;0;0;0
M. Ergelas;Novi Pazar;Novi Pazar;RW, RAMF, LB;21;400000;2024-06-30;15;1172;2;2,33;2;0,98;24,8;54,18;Serbia;Serbia;izquierdo;178;67;si;10,98;8,91;65,52;3,07;55;1;1,41;0;4,15;5,87;1,84;3;0,23;0;0;3,69;0,15;2;0,15;0,18;0;0;41;3,15;39,02;4,878;0,15;1,23;25;0,61;12,5;0,61;37,5;0;4,68;44,26;9,91;47,29;1,84;0,92;0,54;1;2,99;24,11;67,2;9,14;52,94;4,22;80;6,07;75,95;20,5;74,16;2,38;29,03;15,97;19,58;0,08;0,69;0,08;0;0,38;20;0,15;2,84;54,05;1,84;54,17;0,23;0;0,61;0,38;4,91;53,13;0,69;0,15;50;1,54;0;0
G. Links;AGF;AGF;LWB, LB, RWB;25;400000;2024-06-30;18;1176;0;0,43;4;3,96;22,04;50;South Africa;South Africa;izquierdo;170;60;no;8,04;7,73;63,37;1,91;28;0,08;0,09;0;3,06;3,64;1,3;2;0,15;0;0;5,2;0;0;0;0,03;0;0;12;0,92;16,67;0;0,31;4,82;36,51;2,98;33,33;1,84;41,67;0,92;4,74;66,13;9,72;49,61;1,22;2,22;0,99;2,14;1,38;39,34;78,02;10,18;66,92;9,34;91,8;11,86;76,77;31,91;85,61;2,68;60;20,99;36,33;0,3;1,76;0,08;0;0,15;100;0,46;2,6;76,47;4,52;55,93;0,23;100;0,77;1,84;7,65;69;1,84;0;0;3,29;0;0
F. Giraudo;Cittadella;Cittadella;LB;25;400000;2025-06-30;14;1055;0;0,42;0;0,48;16,64;50,77;Italy;Italy;izquierdo;182;76;si;8,7;7,59;51,69;2,82;51,52;0,26;0,35;0;4,52;6,14;1,54;6;0,51;0;0;2,82;0;0;0;0,04;0;0;4;0,34;0;0;0;4,35;37,25;4,35;37,25;0;0;0,26;2,05;58,33;4,95;53,45;0,51;2,9;1,96;2,3;1,45;39,07;73,36;14,76;59,54;6,4;94,67;13,05;76,47;27,9;85,63;7;45,12;21,5;35,11;0,04;0,77;0,17;0;0;0;0,26;7,42;45,98;4,01;38,3;0,34;25;0,26;1,54;8,62;77,23;0;0;0;0;0;0
Matheus Pereira;Vizela;Vizela;LB, LW;23;400000;2025-06-30;21;1756;2;0,95;0;0,78;18,6;50,96;Brazil;Brazil;izquierdo;172;67;no;8,97;7,18;55,71;2,2;37,21;0;0;0,46;4,97;6,75;2,1;10;0,51;0;0;3,18;0,1;2;0,1;0,05;1;0,05;15;0,77;53,33;13,333;0;3,64;26,76;3,54;26,09;0,05;100;0,46;2,92;59,65;6,97;52,94;1,13;2,87;1,08;1,28;2,2;38,64;73,21;15,48;66,89;5,43;89,62;12,04;73,62;28,45;85,05;6,87;46,27;20,31;39,18;0,04;0,62;0;0;0,15;33,33;0,21;6,3;56,1;3,33;38,46;0,56;18,18;0,46;1,08;8,35;68,71;0;0;0;0;0;0
P. Kpozo;Baník Ostrava;Baník Ostrava;LB, LWB;26;400000;2024-06-30;19;1791;0;1,37;1;2,09;17,94;52,66;Ghana;Ghana;izquierdo;181;77;no;9,95;6,38;70,87;3,47;56,52;0,05;0,08;0,2;5,38;8,68;1,11;2;0,1;0;0;2,96;0;0;0;0,07;0;0;14;0,7;21,43;0;0,05;4,32;45,35;4,27;44,71;0,05;100;0,45;1,51;56,67;5,68;38,05;1,61;0,35;0,15;1,71;0,7;33,42;76,09;12,41;70,04;5,08;93,07;10,3;76,59;25,23;86,25;4,07;44,44;19,51;33,18;0,11;0,75;0;0;0;0;0,55;4,12;65,85;3,77;49,33;0,55;9,09;0,55;1,96;8,59;74,85;0;0;0;0;0;0
B. Douglas;Lech Pozna?;Lech Pozna?;LB;34;400000;2024-06-30;10;676;0;0,24;0;0,6;16,24;43,44;Scotland;Scotland;izquierdo;176;70;no;7,99;6,79;45,1;3,99;46,67;0,4;0,65;0,27;4,53;7,39;2;3;0,4;0;0;1,2;0;0;0;0,03;0;0;5;0,67;40;0;0;2;33,33;1,73;38,46;0,27;0;0,27;0,67;40;2,93;31,82;0,93;0,93;0,13;2,26;1,2;49,53;84,68;19,17;74,31;8,12;100;15,98;88,33;41,27;90,97;6,39;58,33;19,03;33,63;0,08;1,33;0;0;0,13;0;0,27;7,59;64,91;2,66;45;0,67;40;0,67;0,67;7,32;87,27;0,67;0,27;0;1,2;0;0
